,words,freq
0,aaron,19
1,aback,3
2,abaft,2
3,abase,5
4,abash,1
5,abate,1
6,abbas,1
7,abbes,1
8,abbey,16
9,abbot,1
10,abdul,1
11,abeam,1
12,abets,1
13,abhor,12
14,abide,17
15,abler,1
16,abner,16
17,abode,16
18,abort,1
19,about,19
20,above,19
21,abram,15
22,abuja,1
23,abuse,10
24,abuts,1
25,abuzz,1
26,abyss,12
27,accra,1
28,ached,1
29,aches,8
30,achoo,1
31,acids,1
32,acing,1
33,acmes,1
34,acorn,10
35,acres,6
36,acrid,2
37,acrux,1
38,acted,13
39,acton,1
40,actor,13
41,acuff,1
42,acute,7
43,adage,1
44,adams,1
45,adana,1
46,adapt,2
47,added,18
48,adder,8
49,addie,1
50,addle,1
51,adela,1
52,adele,1
53,adept,1
54,adieu,11
55,adios,1
56,adler,1
57,adman,1
58,admen,1
59,admin,1
60,admit,15
61,admix,1
62,adobe,1
63,adolf,1
64,adopt,10
65,adore,11
66,adorn,9
67,adult,3
68,advil,1
69,adzes,1
70,aegis,1
71,aerie,1
72,aesop,1
73,afaik,1
74,affix,2
75,afire,2
76,afoot,5
77,afoul,1
78,afros,1
79,after,19
80,again,19
81,agana,1
82,agape,1
83,agate,3
84,agave,1
85,agent,14
86,aggie,1
87,aggro,1
88,agile,2
89,aging,1
90,aglow,2
91,agnes,1
92,agnew,1
93,agony,15
94,agree,15
95,ahead,15
96,ahmad,1
97,ahmed,1
98,aided,2
99,aides,3
100,aiken,1
101,ailed,2
102,aimed,9
103,aimee,1
104,aired,2
105,aires,1
106,aisha,1
107,aisle,5
108,aitch,1
109,akbar,1
110,akita,1
111,akiva,1
112,akkad,1
113,akron,1
114,alack,2
115,alamo,3
116,alana,1
117,alarm,16
118,albee,1
119,album,1
120,alcoa,1
121,aldan,1
122,alden,1
123,alder,1
124,alert,10
125,aleut,1
126,algae,1
127,algal,1
128,alger,1
129,algol,1
130,alias,1
131,alibi,1
132,alice,19
133,alien,11
134,align,1
135,alike,16
136,aline,1
137,alisa,1
138,alive,18
139,alkyd,1
140,allah,5
141,allan,1
142,allay,4
143,allen,1
144,alley,5
145,allie,1
146,allot,1
147,allow,17
148,alloy,7
149,aloes,5
150,aloft,16
151,aloha,1
152,alone,19
153,along,19
154,aloof,8
155,aloud,16
156,alpha,4
157,alsop,1
158,altai,1
159,altar,19
160,alter,13
161,alton,1
162,altos,1
163,alums,1
164,alvin,1
165,alyce,1
166,amado,1
167,amaru,1
168,amass,1
169,amati,1
170,amaze,8
171,amber,9
172,ambit,1
173,amble,1
174,amend,8
175,amgen,1
176,amide,1
177,amiga,1
178,amigo,1
179,amine,1
180,amino,1
181,amish,1
182,amiss,12
183,amity,6
184,amman,1
185,amoco,1
186,among,19
187,amour,3
188,ample,15
189,amply,9
190,amuse,11
191,amway,1
192,andes,8
193,andre,1
194,anent,1
195,angel,18
196,anger,18
197,angie,1
198,angle,13
199,anglo,3
200,angry,18
201,angst,1
202,angus,6
203,anhui,1
204,anime,1
205,anion,1
206,anise,1
207,anita,1
208,ankhs,1
209,ankle,10
210,annam,1
211,annex,1
212,annie,3
213,annoy,6
214,annul,1
215,anode,1
216,anons,1
217,ansis,1
218,anted,1
219,antes,1
220,antic,3
221,antis,1
222,anton,1
223,antsy,1
224,anvil,10
225,anzac,1
226,anzus,1
227,aorta,1
228,apace,8
229,apart,15
230,aphid,1
231,aping,1
232,apish,2
233,apple,15
234,apply,12
235,april,10
236,apron,10
237,apses,1
238,apter,1
239,aptly,1
240,aquas,1
241,arabs,2
242,araby,1
243,arbor,1
244,arced,1
245,arden,1
246,ardor,2
247,areal,1
248,areas,2
249,arena,4
250,argon,1
251,argos,1
252,argot,1
253,argue,10
254,argus,2
255,arias,1
256,ariel,7
257,aries,4
258,arise,18
259,arius,1
260,armed,17
261,armor,6
262,arneb,1
263,aroma,3
264,arose,18
265,arras,3
266,array,15
267,arron,1
268,arrow,15
269,arsed,1
270,arson,1
271,artie,1
272,artsy,1
273,aruba,1
274,arums,1
275,aryan,1
276,asama,1
277,ascii,2
278,ascot,1
279,ashed,1
280,ashen,1
281,ashes,16
282,asian,1
283,aside,18
284,asked,19
285,askew,2
286,asoka,1
287,aspca,1
288,aspen,1
289,aspic,1
290,assad,1
291,assam,1
292,assay,8
293,asses,16
294,asset,1
295,assoc,1
296,aster,1
297,astir,4
298,aston,1
299,astor,1
300,aswan,1
301,atari,1
302,atilt,1
303,atlas,2
304,atman,1
305,atoll,1
306,atoms,1
307,atone,2
308,atria,1
309,attar,1
310,attic,1
311,auden,1
312,audio,1
313,audit,2
314,audra,1
315,auger,4
316,aught,15
317,augur,3
318,aunts,3
319,aural,1
320,auras,1
321,autos,1
322,auxin,1
323,avail,11
324,avast,12
325,avers,1
326,avert,4
327,avery,1
328,avian,1
329,avila,1
330,avior,1
331,avoid,16
332,avows,2
333,awacs,1
334,await,7
335,awake,17
336,award,1
337,aware,16
338,awash,1
339,awful,16
340,awing,1
341,awoke,12
342,axial,1
343,axing,1
344,axiom,1
345,axles,1
346,axons,1
347,ayahs,1
348,ayala,1
349,ayers,1
350,azana,1
351,aztec,1
352,azure,8
353,baaed,1
354,baals,1
355,baath,1
356,babel,8
357,babes,13
358,baccy,1
359,backs,14
360,bacon,5
361,baden,2
362,badge,3
363,badly,10
364,bagel,1
365,baggy,1
366,bahia,1
367,bahts,1
368,baidu,1
369,bails,1
370,baird,1
371,bairn,1
372,baits,2
373,baize,1
374,baked,12
375,baker,13
376,bakes,1
377,balds,1
378,baldy,1
379,baled,1
380,baler,1
381,bales,3
382,balks,5
383,balky,1
384,balls,14
385,bally,4
386,balms,1
387,balmy,6
388,balsa,1
389,bambi,1
390,banal,1
391,bands,16
392,bandy,1
393,banes,1
394,bangs,1
395,banjo,2
396,banks,13
397,banns,1
398,bantu,1
399,barbs,10
400,bards,12
401,bared,4
402,barer,1
403,bares,1
404,barfs,1
405,barge,2
406,barks,1
407,barmy,1
408,barns,12
409,baron,6
410,barre,1
411,barry,1
412,barth,1
413,basal,1
414,based,6
415,basel,1
416,baser,6
417,bases,11
418,basho,1
419,basic,1
420,basie,1
421,basil,3
422,basin,12
423,basis,9
424,basks,1
425,basra,1
426,basso,1
427,baste,1
428,batch,1
429,bated,2
430,bates,17
431,bathe,13
432,baths,9
433,batik,1
434,baton,2
435,batty,1
436,bauds,1
437,bauer,1
438,bawds,1
439,bawdy,1
440,bawls,1
441,bayed,1
442,bayer,1
443,bayes,1
444,bayou,1
445,bbses,1
446,beach,15
447,beads,6
448,beady,1
449,beaks,3
450,beams,15
451,beans,7
452,beard,17
453,bears,13
454,beast,18
455,beats,7
456,beaus,1
457,beaut,1
458,bebop,1
459,becks,1
460,becky,1
461,bedim,1
462,beebe,1
463,beech,3
464,beefs,1
465,beefy,1
466,beeps,1
467,beers,1
468,beery,1
469,beets,2
470,befit,1
471,befog,1
472,began,19
473,begat,18
474,beget,13
475,begin,18
476,begot,4
477,begum,1
478,begun,17
479,behan,1
480,beige,1
481,being,19
482,belau,1
483,belay,1
484,belch,2
485,belem,1
486,belie,3
487,bella,3
488,belle,1
489,bells,14
490,belly,16
491,below,17
492,belts,1
493,bench,15
494,bends,8
495,bendy,1
496,benet,1
497,benin,1
498,benny,1
499,bents,1
500,beret,1
501,bergs,1
502,beria,1
503,berks,1
504,berle,1
505,berms,1
506,berra,1
507,berry,9
508,berta,1
509,berth,9
510,beryl,8
511,beset,10
512,besom,1
513,besot,1
514,bests,1
515,betas,1
516,betel,1
517,bethe,1
518,betsy,5
519,bette,1
520,betty,14
521,bevel,1
522,bevvy,1
523,beyer,1
524,bezel,1
525,bhaji,1
526,bible,13
527,bicep,1
528,biddy,1
529,biden,1
530,bides,1
531,bidet,1
532,biers,1
533,biffs,1
534,bight,1
535,bigot,1
536,bijou,1
537,biked,1
538,biker,1
539,bikes,1
540,bilbo,1
541,bilge,1
542,bilks,1
543,bills,9
544,billy,14
545,bimbo,1
546,binds,2
547,binge,1
548,bingo,1
549,bioko,1
550,biped,1
551,birch,7
552,birds,17
553,birth,16
554,bison,4
555,bitch,1
556,biter,1
557,bites,4
558,bitty,1
559,bizet,1
560,bjork,1
561,blabs,1
562,black,19
563,blade,14
564,blags,1
565,blahs,1
566,blair,1
567,blake,4
568,blame,15
569,bland,6
570,blank,14
571,blare,1
572,blase,1
573,blast,14
574,blats,1
575,blatz,1
576,blaze,13
577,bleak,10
578,blear,2
579,bleat,1
580,bleed,10
581,bleep,1
582,blend,6
583,bless,18
584,bligh,1
585,blimp,1
586,blind,18
587,bling,1
588,blini,1
589,blink,1
590,blips,1
591,bliss,15
592,blitz,1
593,bloat,1
594,blobs,1
595,bloch,1
596,block,12
597,blocs,1
598,blogs,1
599,bloke,1
600,blond,1
601,blood,19
602,bloom,14
603,bloop,1
604,blots,1
605,blown,14
606,blows,15
607,blowy,1
608,blued,1
609,bluer,4
610,blues,1
611,bluet,1
612,bluff,7
613,blunt,10
614,blurb,1
615,blurs,1
616,blurt,1
617,blush,14
618,board,17
619,boars,1
620,boast,14
621,boats,17
622,bobbi,1
623,bobby,7
624,boded,1
625,bodes,1
626,bodge,1
627,boers,1
628,boffo,1
629,bogey,1
630,boggy,2
631,bogie,1
632,bogon,1
633,bogus,1
634,boils,5
635,boink,1
636,boise,1
637,bolas,1
638,boles,1
639,bolls,1
640,bolts,9
641,bolus,1
642,bombs,7
643,bonce,1
644,bonds,14
645,boned,1
646,boner,1
647,bones,18
648,bongo,1
649,bongs,1
650,bonks,1
651,bonny,1
652,bonus,1
653,boobs,1
654,booby,5
655,booed,1
656,books,17
657,boole,1
658,booms,2
659,boone,1
660,boons,1
661,boors,1
662,boost,1
663,booth,2
664,boots,15
665,booty,10
666,booze,1
667,boozy,1
668,borax,1
669,bored,5
670,borer,1
671,bores,2
672,borgs,1
673,boris,1
674,borne,17
675,boron,1
676,bosch,1
677,bosom,16
678,bossy,1
679,botch,3
680,botha,1
681,botox,1
682,bough,11
683,bound,18
684,bouts,1
685,bowed,17
686,bowel,1
687,bowen,1
688,bower,12
689,bowie,1
690,bowls,13
691,boxed,1
692,boxen,1
693,boxer,1
694,boxes,10
695,boyer,1
696,boyle,3
697,bozos,1
698,brace,10
699,bract,1
700,brads,1
701,brady,1
702,braes,1
703,bragg,1
704,brags,1
705,brahe,1
706,braid,1
707,brain,17
708,brake,16
709,brand,8
710,brant,1
711,brash,1
712,brass,17
713,brats,1
714,brave,15
715,bravo,6
716,brawl,1
717,brawn,7
718,brays,1
719,braze,1
720,bread,19
721,break,18
722,bream,1
723,breed,12
724,brent,1
725,brest,5
726,brett,1
727,breve,1
728,brews,1
729,brian,12
730,bribe,9
731,brice,1
732,brick,12
733,bride,15
734,brief,14
735,brier,7
736,bries,1
737,brigs,3
738,brill,1
739,brims,1
740,brine,8
741,bring,19
742,brink,10
743,briny,3
744,brisk,10
745,brits,1
746,britt,1
747,broad,18
748,brock,1
749,broil,1
750,broke,17
751,bronc,1
752,bronx,1
753,brood,13
754,brook,16
755,broom,8
756,broth,12
757,brown,19
758,brows,12
759,bruce,1
760,bruin,1
761,bruit,2
762,bruno,11
763,brunt,3
764,brush,12
765,brute,13
766,bryan,1
767,bryce,1
768,bryon,1
769,buber,1
770,bucks,1
771,buddy,1
772,budge,5
773,buffs,1
774,buffy,1
775,buggy,1
776,bugle,7
777,buick,1
778,build,18
779,built,18
780,bulbs,2
781,bulge,3
782,bulgy,1
783,bulks,1
784,bulky,8
785,bulls,10
786,bully,6
787,bumph,1
788,bumps,2
789,bumpy,1
790,bunch,12
791,bunco,1
792,bungs,1
793,bunin,1
794,bunks,1
795,bunny,1
796,bunts,1
797,buoys,4
798,burbs,1
799,burch,1
800,burgh,1
801,burgs,1
802,burka,1
803,burke,3
804,burks,1
805,burls,1
806,burly,4
807,burma,1
808,burns,8
809,burnt,19
810,burps,1
811,burro,1
812,burrs,1
813,bursa,1
814,burst,17
815,busby,1
816,busch,1
817,bused,1
818,buses,1
819,bushy,6
820,busks,2
821,busts,1
822,busty,1
823,butch,1
824,butte,1
825,butts,5
826,butty,1
827,buxom,2
828,buyer,6
829,byers,1
830,bylaw,1
831,byres,1
832,byron,7
833,bytes,1
834,byway,1
835,cabal,1
836,cabby,3
837,caber,1
838,cabin,17
839,cable,8
840,cabot,1
841,cacao,1
842,cache,2
843,cacti,1
844,cadet,1
845,cadge,1
846,cadiz,5
847,cadre,1
848,cafes,2
849,caffs,1
850,caged,2
851,cages,2
852,cagey,1
853,cains,1
854,cairn,1
855,cairo,1
856,cajun,1
857,caked,1
858,cakes,14
859,caleb,14
860,calif,1
861,calks,1
862,calla,1
863,calls,15
864,calms,4
865,calve,2
866,calyx,1
867,camel,13
868,cameo,1
869,camps,12
870,campy,1
871,camry,1
872,camus,1
873,canad,1
874,canal,12
875,candy,2
876,caned,1
877,caner,1
878,canes,3
879,canny,1
880,canoe,12
881,canon,1
882,canst,16
883,canto,1
884,cants,1
885,cantu,1
886,caped,1
887,capek,1
888,caper,1
889,capes,4
890,capet,1
891,capon,1
892,capos,1
893,capra,1
894,capri,1
895,carat,1
896,carbs,1
897,cards,13
898,cared,13
899,carer,1
900,cares,14
901,caret,1
902,carey,1
903,cargo,4
904,carib,1
905,carla,1
906,carlo,15
907,carly,1
908,carny,1
909,carob,1
910,carol,9
911,carom,1
912,carpi,1
913,carps,1
914,carry,18
915,carts,5
916,carve,7
917,cased,2
918,cases,15
919,casey,1
920,casio,1
921,casks,12
922,caste,5
923,casts,9
924,catch,17
925,cater,1
926,cathy,1
927,catty,1
928,caulk,2
929,cause,19
930,caved,1
931,caver,1
932,caves,11
933,cavil,4
934,cawed,1
935,cease,17
936,cecal,1
937,cecil,4
938,cecum,1
939,cedar,16
940,ceded,1
941,ceder,1
942,cedes,1
943,celeb,1
944,celia,1
945,cello,1
946,cells,11
947,celts,2
948,cents,2
949,ceres,4
950,certs,1
951,cesar,1
952,cetus,3
953,chads,1
954,chafe,1
955,chaff,11
956,chain,15
957,chair,17
958,chalk,9
959,champ,1
960,chang,1
961,chant,15
962,chaos,14
963,chaps,8
964,chard,1
965,charm,15
966,chars,1
967,chart,10
968,chary,1
969,chase,16
970,chasm,2
971,chats,1
972,cheap,11
973,cheat,11
974,check,12
975,cheek,15
976,cheep,1
977,cheer,14
978,chefs,1
979,chemo,1
980,cheri,1
981,chert,1
982,chess,2
983,chest,14
984,chevy,1
985,chews,1
986,chewy,1
987,chiba,1
988,chick,13
989,chico,1
990,chide,6
991,chief,19
992,child,19
993,chile,1
994,chili,3
995,chill,8
996,chime,1
997,chimp,1
998,chimu,1
999,china,14
1000,chine,1
1001,chink,1
1002,chino,1
1003,chins,1
1004,chips,8
1005,chirp,2
1006,chits,1
1007,chive,1
1008,chivy,1
1009,chloe,1
1010,chock,1
1011,chocs,1
1012,choir,2
1013,choke,6
1014,chomp,1
1015,chops,2
1016,chord,2
1017,chore,1
1018,chose,16
1019,chows,1
1020,chris,1
1021,chubs,1
1022,chuck,7
1023,chugs,1
1024,chump,1
1025,chums,1
1026,chung,1
1027,chunk,1
1028,churl,3
1029,churn,1
1030,chute,1
1031,chyme,1
1032,ciaos,1
1033,cider,8
1034,cigar,12
1035,cilia,1
1036,cinch,1
1037,cindy,1
1038,cipro,1
1039,circa,1
1040,circe,1
1041,cirri,1
1042,cisco,1
1043,cited,4
1044,cites,1
