,answer,n_tries,last_n_choices,won,difficulty_level
5718,their,3.39,8.89,1.0,easy
4511,raise,3.44,8.27,1.0,easy
283,aside,3.47,5.49,1.0,easy
5733,third,3.47,10.06,1.0,easy
5104,since,3.48,10.33,1.0,easy
4593,reign,3.49,11.6,1.0,easy
6033,until,3.49,5.29,1.0,easy
939,cedar,3.5,10.08,1.0,easy
5102,simon,3.51,24.21,1.0,easy
3710,mourn,3.52,5.36,1.0,easy
13,abhor,3.52,71.2,1.0,easy
2264,ghost,3.52,4.11,1.0,easy
40,actor,3.52,23.07,1.0,easy
5279,solid,3.53,6.09,1.0,easy
2148,frost,3.54,7.89,1.0,easy
2767,idols,3.54,12.3,1.0,easy
6311,whoso,3.54,5.17,1.0,easy
1779,empty,3.55,8.44,1.0,easy
3930,ocean,3.55,4.5,1.0,easy
2031,flesh,3.55,4.03,1.0,easy
5483,strip,3.55,6.55,1.0,easy
316,aught,3.56,7.52,1.0,easy
5888,trial,3.56,7.1,1.0,easy
882,canst,3.56,8.91,1.0,easy
5507,sugar,3.57,70.08,1.0,easy
2481,habit,3.57,17.18,1.0,easy
6278,whale,3.57,4.28,1.0,easy
5310,south,3.58,3.0,1.0,easy
2266,giant,3.58,10.31,1.0,easy
4195,piece,3.58,12.57,1.0,easy
1757,elton,3.58,10.32,1.0,easy
4735,rosin,3.58,4.4,1.0,easy
54,adieu,3.58,5.57,1.0,easy
1567,doubt,3.58,8.87,1.0,easy
1486,dinah,3.59,9.17,1.0,easy
2128,fresh,3.59,9.35,1.0,easy
747,broad,3.59,6.5,1.0,easy
4383,prose,3.6,4.05,1.0,easy
4673,risen,3.6,14.01,1.0,easy
17,abode,3.6,8.1,1.0,easy
962,chaos,3.6,76.84,1.0,easy
3362,lucre,3.6,8.37,1.0,easy
6305,whole,3.6,10.05,1.0,easy
2830,isaac,3.6,6.66,1.0,easy
85,agent,3.6,6.64,1.0,easy
5156,slain,3.61,11.26,1.0,easy
5712,thank,3.61,9.45,1.0,easy
5581,syria,3.61,5.35,1.0,easy
1692,earth,3.62,4.76,1.0,easy
1788,enoch,3.62,3.18,1.0,easy
677,bosom,3.62,15.67,1.0,easy
3361,lucky,3.62,72.06,1.0,easy
4414,pulse,3.62,3.69,1.0,easy
4823,saith,3.62,11.43,1.0,easy
284,asked,3.62,69.81,1.0,easy
2761,ideas,3.62,17.88,1.0,easy
3812,negro,3.62,14.71,1.0,easy
4647,ridge,3.62,11.41,0.98,easy
2152,fruit,3.63,5.12,1.0,easy
957,chair,3.63,5.99,1.0,easy
1997,first,3.63,3.44,1.0,easy
6469,young,3.63,16.83,1.0,easy
2941,judah,3.63,79.27,1.0,easy
3747,music,3.63,5.38,1.0,easy
3945,often,3.64,4.43,1.0,easy
762,bruno,3.64,2.47,1.0,easy
133,alien,3.64,3.63,1.0,easy
1526,doers,3.64,15.86,0.99,easy
491,below,3.64,10.97,1.0,easy
1342,daisy,3.64,3.69,1.0,easy
3788,naomi,3.64,70.84,1.0,easy
6380,world,3.64,71.56,1.0,easy
473,begat,3.64,7.18,1.0,easy
809,burnt,3.65,5.91,1.0,easy
2442,guard,3.65,5.74,1.0,easy
778,build,3.65,5.76,1.0,easy
983,chest,3.65,6.96,1.0,easy
961,chant,3.65,6.93,1.0,easy
5849,touch,3.65,4.59,1.0,easy
3528,meant,3.65,19.65,1.0,easy
6019,unfit,3.65,5.94,1.0,easy
2599,herod,3.65,6.02,1.0,easy
3138,latin,3.65,6.44,1.0,easy
2835,islet,3.65,2.18,1.0,easy
4556,reach,3.65,7.53,1.0,easy
1743,elias,3.66,3.05,1.0,easy
1792,entry,3.66,3.85,1.0,easy
