,answer,n_tries,last_n_choices,won,difficulty_level
815,busby,5.11,1.98,0.89,hard
820,busks,5.11,2.96,0.91,hard
3599,milfs,5.11,2.22,0.86,hard
32,acing,5.11,2.48,0.8,hard
462,beebe,5.11,1.51,0.95,hard
5329,spays,5.11,1.78,0.9,hard
3723,mucus,5.11,1.73,0.88,hard
4712,rojas,5.11,1.49,0.84,hard
2662,homey,5.11,1.86,0.88,hard
1383,dawns,5.11,1.98,0.85,hard
2455,gulfs,5.11,1.66,0.81,hard
2500,halal,5.11,2.16,0.89,hard
5039,shins,5.11,1.53,0.95,hard
5113,sired,5.11,1.9,0.85,hard
5997,udder,5.11,1.33,0.89,hard
3790,nappy,5.11,1.66,0.95,hard
3353,luaus,5.11,1.99,0.91,hard
3365,luges,5.11,3.57,0.86,hard
3575,mewed,5.11,1.44,0.89,hard
3636,mitts,5.11,1.97,0.96,hard
5765,tight,5.11,5.34,0.76,hard
6426,xxvii,5.11,2.17,0.96,hard
3094,lagos,5.11,2.1,0.84,hard
3212,lexus,5.11,2.7,0.92,hard
780,bulbs,5.11,2.7,0.88,hard
6364,wolfs,5.11,1.61,0.85,hard
4251,plats,5.12,1.71,0.93,hard
637,bolas,5.12,2.26,0.85,hard
5422,stash,5.12,2.43,0.75,hard
6186,wadge,5.12,1.73,0.83,hard
1323,cuter,5.12,1.86,0.89,hard
3859,nixes,5.12,3.55,0.87,hard
6120,viced,5.12,3.54,0.82,hard
2864,janis,5.12,1.7,0.85,hard
3890,nouns,5.12,1.48,0.91,hard
5157,slake,5.12,1.37,0.91,hard
3624,minus,5.12,3.77,0.84,hard
5130,skeet,5.12,1.24,0.89,hard
3293,locos,5.12,1.69,0.86,hard
4075,papal,5.12,2.34,0.89,hard
2474,gutty,5.12,2.52,0.84,hard
3478,marla,5.12,2.13,0.87,hard
2966,kappa,5.12,2.59,0.91,hard
1662,dupes,5.12,2.74,0.9,hard
1121,cocky,5.12,2.05,0.88,hard
567,blake,5.12,4.49,0.84,hard
1000,chine,5.12,1.94,0.9,hard
5643,tarty,5.13,2.02,0.88,hard
3545,melds,5.13,2.52,0.89,hard
2876,jayne,5.13,2.12,0.93,hard
3644,moats,5.13,1.84,0.87,hard
4404,puffy,5.13,2.24,0.91,hard
5275,soils,5.13,2.74,0.84,hard
3634,miter,5.13,2.41,0.84,hard
5627,tapas,5.13,2.19,0.87,hard
5785,tints,5.13,4.78,0.89,hard
4435,pushy,5.13,2.15,0.82,hard
588,blini,5.13,2.35,0.94,hard
1513,dived,5.13,7.67,0.83,hard
6070,vamps,5.13,2.68,0.91,hard
6037,upped,5.13,2.79,0.88,hard
5110,sinks,5.13,10.84,0.79,hard
5111,sinus,5.13,1.64,0.87,hard
4746,roved,5.13,1.73,0.85,hard
1338,daffy,5.13,1.58,0.87,hard
4986,sewer,5.13,1.63,0.88,hard
5556,swigs,5.13,1.2,0.81,hard
2410,grieg,5.13,1.1,0.91,hard
4939,sects,5.13,2.48,0.83,hard
5805,toffs,5.13,4.97,0.91,hard
4814,sagas,5.13,2.43,0.89,hard
501,bergs,5.13,1.79,0.85,hard
6242,wazoo,5.13,1.97,0.91,hard
367,bahts,5.14,1.36,0.82,hard
354,baals,5.14,1.82,0.88,hard
1049,clade,5.14,1.22,0.87,hard
4987,sexed,5.14,1.15,0.92,hard
6063,vagus,5.14,1.93,0.8,hard
587,bling,5.14,1.52,0.92,hard
2984,kazan,5.14,2.18,0.92,hard
3075,krone,5.14,1.91,0.85,hard
4412,pulps,5.14,2.44,0.81,hard
1875,faddy,5.14,1.73,0.87,hard
1930,feeds,5.14,3.94,0.77,hard
4145,pelee,5.14,1.98,0.9,hard
3835,nicks,5.14,5.71,0.8,hard
2885,jenna,5.14,2.08,0.88,hard
1296,cubes,5.14,2.32,0.9,hard
2656,holey,5.14,2.37,0.87,hard
1570,douse,5.15,1.81,0.89,hard
3476,maris,5.15,2.2,0.85,hard
4832,salsa,5.15,1.53,0.95,hard
4158,pepys,5.15,2.7,0.83,hard
4521,ramps,5.15,3.69,0.88,hard
2020,flare,5.15,1.72,0.9,hard
6407,wryer,5.15,1.83,0.89,hard
2971,karla,5.15,1.73,0.94,hard
365,baggy,5.15,3.32,0.86,hard
2255,genus,5.15,1.82,0.84,hard
2297,glans,5.15,2.08,0.92,hard
4315,poppa,5.15,1.6,0.89,hard
884,cants,5.15,1.64,0.86,hard
6489,zeros,5.15,2.49,0.81,hard
5499,suave,5.15,2.48,0.92,hard
5767,tiled,5.15,7.86,0.82,hard
5327,spats,5.16,2.42,0.88,hard
2126,frees,5.16,3.48,0.88,hard
2705,howls,5.16,3.1,0.82,hard
896,carbs,5.16,1.57,0.91,hard
4173,pesos,5.16,1.9,0.86,hard
2889,jerri,5.16,1.71,0.92,hard
5048,shivs,5.16,1.8,0.92,hard
1975,files,5.16,5.88,0.78,hard
564,blags,5.16,1.83,0.87,hard
1159,comps,5.16,1.74,0.8,hard
4387,provo,5.16,2.21,0.87,hard
5590,tacks,5.16,3.46,0.85,hard
1988,finis,5.16,3.78,0.84,hard
2151,froze,5.16,3.53,0.88,hard
2574,hefts,5.17,2.27,0.8,hard
6222,warez,5.17,1.59,0.88,hard
6154,vivas,5.17,2.73,0.86,hard
