,answer,n_tries,last_n_choices,won,difficulty_level
78,afros,4.26,1.44,0.99,medium
3395,lyman,4.26,1.34,1.0,medium
6287,whelp,4.26,2.06,0.99,medium
1637,ducks,4.26,6.72,0.97,medium
5774,times,4.26,10.77,0.96,medium
4188,phony,4.26,4.82,1.0,medium
2011,flags,4.26,10.46,0.99,medium
87,aggro,4.26,1.54,1.0,medium
3538,meets,4.26,12.81,0.97,medium
4463,quell,4.26,5.44,0.99,medium
4774,rumba,4.26,1.38,1.0,medium
2413,grimm,4.26,3.6,0.98,medium
4238,place,4.26,4.62,0.97,medium
4923,scrog,4.26,1.68,1.0,medium
4386,prove,4.26,4.42,0.99,medium
4303,ponds,4.26,5.81,0.99,medium
5899,trios,4.26,1.8,0.98,medium
4005,otter,4.26,14.94,0.97,medium
2818,iowan,4.26,1.27,1.0,medium
2039,flirt,4.26,1.52,1.0,medium
4703,roche,4.26,1.96,1.0,medium
4264,plonk,4.26,1.58,1.0,medium
2476,gypsy,4.26,1.41,1.0,medium
2477,gyros,4.26,2.23,1.0,medium
5025,sheet,4.26,2.95,0.99,medium
6038,upper,4.26,11.24,0.95,medium
1457,dewar,4.26,1.56,1.0,medium
5453,stink,4.26,6.57,1.0,medium
2307,glint,4.26,2.45,0.99,medium
3053,knopf,4.26,1.55,0.99,medium
1117,cobol,4.26,1.47,0.99,medium
2284,girly,4.26,1.81,1.0,medium
1136,coins,4.26,17.32,0.96,medium
4558,reads,4.26,8.15,1.0,medium
419,basic,4.26,1.51,0.99,medium
444,bayou,4.26,1.52,0.99,medium
302,atilt,4.26,1.91,1.0,medium
3584,micro,4.26,1.51,1.0,medium
6270,wendi,4.26,1.38,0.99,medium
360,bacon,4.26,4.39,0.98,medium
1309,cured,4.26,7.9,0.98,medium
2182,futon,4.26,2.38,0.99,medium
2531,harte,4.26,1.2,0.99,medium
4181,pewit,4.26,1.35,0.99,medium
1197,corps,4.26,5.91,0.97,medium
5312,sower,4.26,8.69,0.96,medium
106,aisha,4.26,1.62,1.0,medium
1742,elgar,4.26,2.07,1.0,medium
4841,sammy,4.27,78.88,0.99,medium
3386,lusts,4.27,7.24,0.96,medium
295,assoc,4.27,3.2,1.0,medium
3350,lowly,4.27,7.3,1.0,medium
4769,ruing,4.27,1.4,0.97,medium
1566,douay,4.27,1.33,1.0,medium
4968,sepoy,4.27,1.44,1.0,medium
4354,press,4.27,10.79,1.0,medium
5922,trump,4.27,3.13,0.98,medium
1503,disco,4.27,1.94,1.0,medium
5000,shall,4.27,10.55,1.0,medium
3189,lemur,4.27,1.57,1.0,medium
4809,sadie,4.27,1.39,1.0,medium
4185,phish,4.27,2.27,1.0,medium
5635,tarim,4.27,2.84,0.99,medium
5645,tasha,4.27,1.47,1.0,medium
5430,steal,4.27,2.52,0.98,medium
3741,murat,4.27,1.54,0.99,medium
5567,swoon,4.27,1.25,1.0,medium
4522,ranch,4.27,1.39,0.98,medium
4523,randi,4.27,1.98,1.0,medium
368,baidu,4.27,4.02,1.0,medium
3891,novae,4.27,1.43,1.0,medium
5056,shoot,4.27,4.16,0.99,medium
5854,towel,4.27,2.91,0.99,medium
1154,comet,4.27,11.74,0.99,medium
1350,damon,4.27,2.01,0.99,medium
4677,risky,4.27,1.4,0.99,medium
1423,deign,4.27,2.27,1.0,medium
3666,monad,4.27,2.15,0.98,medium
6371,woody,4.27,7.33,0.98,medium
3,abase,4.27,2.19,1.0,medium
5709,thais,4.27,1.84,1.0,medium
1026,chung,4.27,1.62,1.0,medium
3239,limbo,4.27,1.94,1.0,medium
234,apply,4.27,5.1,0.99,medium
1739,elegy,4.27,1.51,1.0,medium
11,abeam,4.27,1.12,1.0,medium
6398,wrest,4.27,3.52,0.98,medium
148,alloy,4.27,3.02,1.0,medium
1745,eliot,4.28,1.44,1.0,medium
6312,whups,4.28,2.01,1.0,medium
3415,madly,4.28,7.91,0.99,medium
6295,whims,4.28,8.09,0.99,medium
5288,sonic,4.28,1.32,0.99,medium
6474,yucca,4.28,1.99,1.0,medium
1905,fatah,4.28,1.23,0.99,medium
621,boats,4.28,9.02,0.95,medium
3921,obama,4.28,1.69,1.0,medium
3537,medic,4.28,2.03,0.99,medium
768,bryon,4.28,1.37,1.0,medium
2033,flied,4.28,1.64,0.98,medium
2814,invar,4.28,1.36,0.99,medium
4739,rouge,4.28,2.14,1.0,medium
4758,ruben,4.28,1.43,1.0,medium
420,basie,4.28,1.94,0.99,medium
1539,dolor,4.28,2.03,0.99,medium
2053,flown,4.28,3.04,0.99,medium
4707,rodin,4.28,1.43,0.99,medium
2932,josue,4.28,1.52,0.99,medium
5072,shula,4.28,3.34,0.99,medium
4441,pygmy,4.28,1.56,1.0,medium
806,burly,4.28,3.39,0.99,medium
2167,funds,4.28,7.6,0.99,medium
5237,snead,4.28,1.21,1.0,medium
4080,parch,4.28,4.25,1.0,medium
5438,steno,4.28,1.33,0.98,medium
3067,korea,4.28,1.84,0.98,medium
6126,video,4.28,2.17,0.99,medium
479,behan,4.28,1.41,0.99,medium
6005,umbra,4.28,2.13,1.0,medium
5390,sputa,4.28,1.92,1.0,medium
3202,letha,4.28,2.55,0.96,medium
5160,slant,4.28,1.58,0.98,medium
5504,sudsy,4.28,4.02,1.0,medium
2975,karyn,4.28,1.95,1.0,medium
4357,price,4.28,5.15,0.96,medium
5510,suits,4.28,9.13,0.98,medium
1459,dhaka,4.28,1.3,1.0,medium
3036,klutz,4.28,2.96,0.99,medium
2434,grows,4.28,4.3,0.97,medium
1589,drain,4.28,2.95,1.0,medium
3519,mccoy,4.28,1.56,1.0,medium
109,akbar,4.28,1.27,0.99,medium
5524,surat,4.29,1.45,0.99,medium
1441,denim,4.29,1.61,1.0,medium
5452,sting,4.29,3.72,0.99,medium
3838,nifty,4.29,1.57,0.99,medium
5721,therm,4.29,1.29,0.99,medium
2581,heist,4.29,1.71,0.97,medium
2595,henri,4.29,1.41,1.0,medium
1650,dumbo,4.29,2.64,0.99,medium
1098,clown,4.29,2.94,0.99,medium
280,ashen,4.29,2.44,0.99,medium
5654,taupe,4.29,1.75,0.99,medium
3219,licit,4.29,1.69,1.0,medium
1205,coupe,4.29,1.68,1.0,medium
1835,eulas,4.29,1.1,1.0,medium
937,cecil,4.29,4.18,1.0,medium
2131,freya,4.29,1.51,1.0,medium
1755,elroy,4.29,1.82,0.98,medium
1663,duple,4.29,1.79,1.0,medium
4530,raoul,4.29,1.38,0.98,medium
5239,sneer,4.29,4.12,0.97,medium
5435,steer,4.29,4.13,0.98,medium
5061,shout,4.29,3.04,0.98,medium
4926,scuba,4.29,1.87,0.99,medium
4943,sedgy,4.29,1.66,0.99,medium
3608,mince,4.29,5.45,0.96,medium
2829,irwin,4.29,6.26,1.0,medium
2867,japan,4.29,5.03,0.99,medium
2512,hands,4.29,9.76,0.96,medium
5027,shell,4.29,5.88,0.97,medium
3004,khaki,4.29,1.56,1.0,medium
5256,snows,4.29,4.4,1.0,medium
5165,slave,4.29,6.9,0.96,medium
4054,paint,4.29,3.15,1.0,medium
4071,pansy,4.29,2.77,0.96,medium
4091,parts,4.29,9.83,0.96,medium
3033,klimt,4.29,1.29,0.98,medium
4632,rheum,4.29,1.3,1.0,medium
3970,oneal,4.29,1.41,0.95,medium
702,braes,4.29,1.51,0.98,medium
2991,keith,4.29,1.71,0.99,medium
4013,outgo,4.29,1.48,1.0,medium
733,bride,4.29,4.15,0.97,medium
766,bryan,4.29,2.24,1.0,medium
5916,trudy,4.29,1.32,0.99,medium
5918,truer,4.29,2.56,0.97,medium
3691,morin,4.29,1.98,0.98,medium
41,acuff,4.29,1.36,1.0,medium
263,aroma,4.29,2.71,0.98,medium
6298,whips,4.29,7.65,0.99,medium
3281,loads,4.29,5.08,0.99,medium
137,alisa,4.29,1.52,1.0,medium
6431,xylem,4.29,2.14,1.0,medium
3771,nacre,4.3,7.41,1.0,medium
5946,tunes,4.3,6.91,0.99,medium
5589,tacit,4.3,2.28,0.99,medium
1362,daren,4.3,15.87,1.0,medium
4273,plump,4.3,5.66,0.98,medium
1545,donna,4.3,1.79,1.0,medium
363,badly,4.3,3.43,1.0,medium
2245,geese,4.3,3.05,0.98,medium
1764,elway,4.3,1.43,1.0,medium
4517,rambo,4.3,1.99,0.99,medium
5141,skins,4.3,6.65,0.98,medium
4820,sails,4.3,7.7,0.96,medium
1834,etude,4.3,1.78,0.99,medium
1844,evian,4.3,1.43,1.0,medium
2431,grove,4.3,5.03,0.98,medium
990,chide,4.3,68.39,0.99,medium
5509,suite,4.3,3.01,1.0,medium
4479,quirk,4.3,1.44,1.0,medium
1800,epson,4.3,1.56,1.0,medium
277,ascii,4.3,2.07,1.0,medium
298,aston,4.3,5.36,1.0,medium
