n_tries,n_choices,guesses,feedback,won
4,"[6512, 102, 18, 5]","['laura', 'touch', 'found', 'sound']","{'false_letters': ['f', 'l', 'r', 'a', 't', 'h', 'c'], 'true_letters': {2: 'u', 1: 'o', 3: 'n', 4: 'd', 0: 's'}, 'misplaced_letters': {}}",1
4,"[6512, 33, 4, 1]","['woven', 'aware', 'swept', 'swell']","{'false_letters': ['p', 'o', 'v', 'n', 'a', 'r', 't'], 'true_letters': {1: 'w', 0: 's', 2: 'e', 3: 'l', 4: 'l'}, 'misplaced_letters': {0: ['w'], 3: ['e'], 4: ['e']}}",1
3,"[6512, 56, 2]","['crime', 'stamp', 'stump']","{'false_letters': ['e', 'i', 'a', 'r', 'c'], 'true_letters': {3: 'm', 0: 's', 1: 't', 4: 'p', 2: 'u'}, 'misplaced_letters': {}}",1
5,"[6512, 124, 15, 6, 1]","['graze', 'dough', 'cling', 'swing', 'sting']","{'false_letters': ['e', 'u', 'z', 'o', 'w', 'd', 'a', 'r', 'l', 'h', 'c'], 'true_letters': {2: 'i', 3: 'n', 4: 'g', 0: 's', 1: 't'}, 'misplaced_letters': {0: ['g'], 3: ['g']}}",1
4,"[6512, 2423, 139, 2]","['allah', 'being', 'wiser', 'miser']","{'false_letters': ['n', 'g', 'w', 'b', 'l', 'a', 'h'], 'true_letters': {1: 'i', 2: 's', 3: 'e', 4: 'r', 0: 'm'}, 'misplaced_letters': {1: ['e'], 2: ['i']}}",1
3,"[6512, 2013, 1]","['touch', 'arabs', 'bears']","{'false_letters': ['u', 'o', 't', 'h', 'c'], 'true_letters': {2: 'a', 4: 's', 0: 'b', 1: 'e', 3: 'r'}, 'misplaced_letters': {0: ['a'], 1: ['r'], 3: ['b']}}",1
4,"[6512, 103, 14, 2]","['fatal', 'fumed', 'froze', 'fence']","{'false_letters': ['u', 'z', 'o', 'd', 'm', 'l', 'a', 'r', 't'], 'true_letters': {0: 'f', 4: 'e', 1: 'e', 2: 'n', 3: 'c'}, 'misplaced_letters': {3: ['e']}}",1
5,"[6512, 312, 13, 3, 1]","['other', 'tawny', 'satan', 'canst', 'pants']","{'false_letters': ['e', 'o', 'y', 'w', 'r', 'h', 'c'], 'true_letters': {1: 'a', 2: 'n', 0: 'p', 3: 't', 4: 's'}, 'misplaced_letters': {1: ['t'], 0: ['t', 's'], 3: ['n', 'a', 's'], 2: ['t'], 4: ['n', 't']}}",1
4,"[6512, 162, 13, 4]","['chant', 'mercy', 'pluck', 'flock']","{'false_letters': ['e', 'p', 'u', 'y', 'n', 'm', 'a', 'r', 't', 'h'], 'true_letters': {3: 'c', 1: 'l', 4: 'k', 0: 'f', 2: 'o'}, 'misplaced_letters': {0: ['c']}}",1
4,"[6512, 211, 5, 2]","['linen', 'round', 'count', 'mount']","{'false_letters': ['e', 'i', 'd', 'l', 'r', 'c'], 'true_letters': {1: 'o', 2: 'u', 3: 'n', 4: 't', 0: 'm'}, 'misplaced_letters': {2: ['n'], 4: ['n']}}",1
5,"[6512, 512, 169, 58, 1]","['loyal', 'bowed', 'tooth', 'rocks', 'rosin']","{'false_letters': ['e', 'y', 'w', 'd', 'b', 'l', 'a', 'k', 't', 'h', 'c'], 'true_letters': {1: 'o', 0: 'r', 2: 's', 3: 'i', 4: 'n'}, 'misplaced_letters': {2: ['o'], 4: ['s']}}",1
4,"[6512, 780, 84, 11]","['rocks', 'bates', 'deeds', 'heels']","{'false_letters': ['o', 'd', 'b', 'a', 'r', 'k', 't', 'c'], 'true_letters': {4: 's', 1: 'e', 2: 'e', 0: 'h', 3: 'l'}, 'misplaced_letters': {3: ['e']}}",1
4,"[6512, 304, 39, 3]","['honey', 'vaunt', 'blank', 'plank']","{'false_letters': ['e', 'u', 'o', 'y', 'v', 'b', 't', 'h'], 'true_letters': {3: 'n', 1: 'l', 2: 'a', 4: 'k', 0: 'p'}, 'misplaced_letters': {2: ['n'], 1: ['a']}}",1
6,"[6512, 1327, 15, 10, 3, 2]","['flush', 'coats', 'stand', 'stare', 'stark', 'start']","{'false_letters': ['f', 'e', 'u', 'o', 'n', 'd', 'l', 'k', 'h', 'c'], 'true_letters': {2: 'a', 0: 's', 1: 't', 3: 'r', 4: 't'}, 'misplaced_letters': {3: ['s', 't'], 4: ['s']}}",1
3,"[6512, 171, 3]","['offer', 'doves', 'shoes']","{'false_letters': ['f', 'r', 'd', 'v'], 'true_letters': {3: 'e', 4: 's', 0: 's', 1: 'h', 2: 'o'}, 'misplaced_letters': {0: ['o'], 1: ['o']}}",1
3,"[6512, 104, 1]","['adieu', 'curve', 'ounce']","{'false_letters': ['i', 'v', 'd', 'a', 'r'], 'true_letters': {1: 'u', 4: 'e', 0: 'o', 2: 'n', 3: 'c'}, 'misplaced_letters': {3: ['e'], 4: ['u'], 0: ['c']}}",1
3,"[6512, 38, 1]","['paris', 'stare', 'arose']","{'false_letters': ['p', 't', 'i'], 'true_letters': {4: 'e', 0: 'a', 1: 'r', 2: 'o', 3: 's'}, 'misplaced_letters': {1: ['a'], 2: ['r', 'a'], 4: ['s'], 0: ['s'], 3: ['r']}}",1
5,"[6512, 1666, 28, 7, 1]","['birth', 'jones', 'queen', 'ended', 'angel']","{'false_letters': ['j', 'u', 'q', 'i', 'o', 'd', 'b', 's', 'r', 't', 'h'], 'true_letters': {3: 'e', 1: 'n', 0: 'a', 2: 'g', 4: 'l'}, 'misplaced_letters': {2: ['n', 'e'], 4: ['n'], 0: ['e']}}",1
3,"[6512, 400, 18]","['slave', 'pikes', 'guest']","{'false_letters': ['p', 'i', 'v', 'l', 'a', 'k'], 'true_letters': {0: 'g', 1: 'u', 2: 'e', 3: 's', 4: 't'}, 'misplaced_letters': {0: ['s'], 4: ['e', 's'], 3: ['e']}}",1
4,"[6512, 1697, 64, 13]","['nooks', 'build', 'twice', 'fairy']","{'false_letters': ['e', 'u', 'o', 'n', 'w', 'd', 'b', 's', 'l', 'k', 't', 'c'], 'true_letters': {2: 'i', 0: 'f', 1: 'a', 3: 'r', 4: 'y'}, 'misplaced_letters': {}}",1
3,"[6512, 701, 40]","['repay', 'holes', 'field']","{'false_letters': ['p', 'o', 'y', 's', 'a', 'r', 'h'], 'true_letters': {0: 'f', 1: 'i', 2: 'e', 3: 'l', 4: 'd'}, 'misplaced_letters': {1: ['e'], 2: ['l'], 3: ['e']}}",1
4,"[6512, 32, 14, 4]","['cleft', 'agent', 'sheet', 'brest']","{'false_letters': ['f', 'n', 'g', 'l', 'a', 'h', 'c'], 'true_letters': {2: 'e', 4: 't', 0: 'b', 1: 'r', 3: 's'}, 'misplaced_letters': {0: ['s'], 3: ['e']}}",1
4,"[6512, 570, 10, 2]","['rhyme', 'track', 'crops', 'cross']","{'false_letters': ['e', 'p', 'y', 'm', 'a', 'k', 't', 'h'], 'true_letters': {1: 'r', 0: 'c', 2: 'o', 4: 's', 3: 's'}, 'misplaced_letters': {0: ['r'], 3: ['c']}}",1
4,"[6512, 88, 29, 3]","['fence', 'veins', 'learn', 'newly']","{'false_letters': ['f', 'i', 'v', 's', 'a', 'r', 'c'], 'true_letters': {1: 'e', 0: 'n', 2: 'w', 3: 'l', 4: 'y'}, 'misplaced_letters': {2: ['n'], 4: ['e', 'n'], 3: ['n'], 0: ['l']}}",1
6,"[6512, 49, 11, 4, 3, 2]","['wives', 'throw', 'frown', 'crown', 'brown', 'drown']","{'false_letters': ['e', 'f', 'i', 'v', 'b', 's', 't', 'h', 'c'], 'true_letters': {1: 'r', 2: 'o', 3: 'w', 4: 'n', 0: 'd'}, 'misplaced_letters': {0: ['w'], 2: ['r'], 3: ['o'], 4: ['w']}}",1
